1756684800000000,108246.36000000,108406.18000000,107631.68000000,108222.37000000,1078.82210000,1756688399999999,116502666.71286960,213874,478.02672000,51613477.68853730,0
1756688400000000,108222.37000000,108482.98000000,107968.09000000,108150.24000000,471.21562000,1756691999999999,50978640.87134690,168219,214.66579000,23223696.50407150,0
1756692000000000,108150.24000000,108197.67000000,107425.42000000,107617.05000000,869.81682000,1756695599999999,93716741.62590400,181538,352.16529000,37933955.71463300,0
1756695600000000,107617.05000000,107769.94000000,107393.00000000,107660.01000000,786.48643000,1756699199999999,84585963.43494930,115105,330.26079000,35521916.73413980,0
1756699200000000,107660.00000000,107759.99000000,107279.51000000,107409.10000000,645.82838000,1756702799999999,69402878.74507830,105981,274.03666000,29449126.48756560,0
1756702800000000,107409.09000000,107987.40000000,107255.00000000,107866.12000000,547.79285000,1756706399999999,58926108.02539270,113693,257.82070000,27736669.43962680,0
1756706400000000,107866.13000000,108128.00000000,107594.42000000,108064.75000000,384.59049000,1756709999999999,41506789.12773560,95631,213.03542000,22995603.90393110,0
1756710000000000,108064.76000000,109432.99000000,107984.79000000,109432.99000000,1325.96108000,1756713599999999,144216492.77308330,178478,816.95367000,88854837.78746840,0
1756713600000000,109432.99000000,109820.02000000,109424.00000000,109590.00000000,1103.75653000,1756717199999999,120961985.89004100,165130,521.31661000,57134651.45195060,0
1756717200000000,109590.00000000,109912.40000000,109485.57000000,109524.12000000,513.50327000,1756720799999999,56330493.29482920,100855,244.47960000,26821801.69422640,0
1756720800000000,109524.13000000,109535.32000000,108186.41000000,108571.41000000,948.82778000,1756724399999999,103198657.89395380,155725,378.30020000,41125926.53216800,0
1756724400000000,108571.42000000,108857.35000000,108464.00000000,108782.88000000,545.20367000,1756727999999999,59232440.13623400,77283,275.64236000,29945651.84039020,0
1756728000000000,108782.89000000,109165.47000000,108635.39000000,109108.27000000,636.34520000,1756731599999999,69332854.59830700,75699,259.91603000,28323029.55220850,0
1756731600000000,109108.27000000,109520.00000000,108936.44000000,109023.61000000,725.12306000,1756735199999999,79189883.74998900,119034,323.73284000,35363778.68566110,0
1756735200000000,109023.61000000,109332.28000000,108824.82000000,109146.60000000,490.85432000,1756738799999999,53542909.33919360,112704,230.43226000,25142708.50744620,0
1756738800000000,109146.59000000,109373.10000000,108566.00000000,108784.33000000,414.02255000,1756742399999999,45087150.55908200,104092,188.82619000,20562187.44386000,0
1756742400000000,108784.33000000,109096.00000000,108653.09000000,108774.23000000,374.40601000,1756745999999999,40762467.99187470,83854,176.02899000,19163728.12868120,0
1756746000000000,108774.23000000,108953.82000000,108391.30000000,108927.61000000,570.88854000,1756749599999999,62052707.09778160,97756,269.84210000,29328684.46876750,0
1756749600000000,108927.61000000,109267.22000000,108921.17000000,109240.00000000,346.10668000,1756753199999999,37764012.60756210,50356,185.78637000,20270724.10443490,0
1756753200000000,109240.00000000,109329.65000000,109160.27000000,109217.64000000,261.74926000,1756756799999999,28592439.71589250,34436,98.16543000,10722805.39716240,0
1756756800000000,109217.65000000,109217.65000000,108284.00000000,108877.38000000,873.53022000,1756760399999999,94969948.99440280,100219,395.40443000,42976408.79865300,0
1756760400000000,108877.39000000,108939.42000000,107459.49000000,107800.80000000,917.91242000,1756763999999999,99142053.79788440,115017,398.31817000,42992585.90042480,0
1756764000000000,107800.80000000,108500.04000000,107588.01000000,108444.96000000,517.76894000,1756767599999999,55916114.29041940,81843,289.88999000,31305224.53524000,0
1756767600000000,108444.96000000,109442.95000000,108428.45000000,109237.42000000,703.08997000,1756771199999999,76604237.50732840,82862,359.94440000,39221767.68318510,0
1756771200000000,109237.43000000,109337.64000000,108883.80000000,109040.36000000,552.10707000,1756774799999999,60227493.25317290,72837,250.40520000,27318689.04253370,0
1756774800000000,109040.36000000,109611.11000000,108993.00000000,109313.00000000,616.57671000,1756778399999999,67408743.07911840,87760,364.02667000,39804797.40886790,0
1756778400000000,109313.00000000,110272.06000000,109171.78000000,110246.01000000,1081.14032000,1756781999999999,118592152.50984390,102429,672.98581000,73848386.10236150,0
1756782000000000,110246.00000000,110623.97000000,110060.12000000,110322.18000000,916.19598000,1756785599999999,101074468.24990220,137369,470.98981000,51961061.26697280,0
1756785600000000,110322.19000000,110420.00000000,110143.62000000,110310.56000000,492.48149000,1756789199999999,54307264.08124230,70886,239.48173000,26410170.89124490,0
1756789200000000,110310.56000000,110337.06000000,110045.01000000,110209.32000000,359.35463000,1756792799999999,39594533.20570180,67337,179.80463000,19811002.11574300,0
1756792800000000,110209.33000000,110610.50000000,110173.96000000,110376.63000000,596.39606000,1756796399999999,65846081.89418220,90493,354.10643000,39095601.90516400,0
1756796400000000,110376.63000000,110400.00000000,110000.00000000,110233.92000000,504.48390000,1756799999999999,55599432.74736050,99373,221.54454000,24416320.67955040,0
1756800000000000,110233.91000000,110711.10000000,110052.27000000,110360.00000000,557.03627000,1756803599999999,61471812.94765800,113763,309.29490000,34139319.21739720,0
1756803600000000,110360.01000000,110699.58000000,110256.94000000,110450.56000000,476.55196000,1756807199999999,52625783.32803890,94933,220.90717000,24399206.07803620,0
1756807200000000,110450.56000000,110477.85000000,110128.13000000,110246.00000000,410.87869000,1756810799999999,45319296.88547760,61477,236.04564000,26035155.55041620,0
1756810800000000,110246.00000000,110255.17000000,109563.87000000,109733.34000000,1017.54899000,1756814399999999,111890301.57165730,90864,282.02780000,31005618.10564540,0
1756814400000000,109733.33000000,109836.34000000,108393.39000000,108795.99000000,1297.32717000,1756817999999999,141405622.11607570,197297,578.71023000,63056610.01956830,0
