open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-03 00:00:00,108849.59,109115.03,108715.56,108915.0,494.29688,2025-07-03 00:59:59.999999,53827623.5973559,97546,290.90845,31678297.3921516
2025-07-03 01:00:00,108915.0,109111.0,108807.43,108975.97,383.5858,2025-07-03 01:59:59.999999,41804726.829101,68695,196.9905,21469405.3377035
2025-07-03 02:00:00,108975.96,108975.97,108530.4,108721.52,335.42231,2025-07-03 02:59:59.999999,36457904.5099677,72007,121.42974,13195975.2174614
2025-07-03 03:00:00,108721.52,108820.0,108620.25,108628.21,226.69063,2025-07-03 03:59:59.999999,24644944.7924527,53026,95.47642,10380385.6359586
2025-07-03 04:00:00,108628.2,109000.01,108566.14,108790.0,293.13317,2025-07-03 04:59:59.999999,31907443.2331702,51019,153.96362,16758889.9030961
2025-07-03 05:00:00,108790.0,109381.12,108790.0,109340.37,452.51528,2025-07-03 05:59:59.999999,49398971.2776009,78709,267.40399,29189747.5035128
2025-07-03 06:00:00,109340.37,109548.0,109237.85,109478.94,372.89912,2025-07-03 06:59:59.999999,40797512.0564931,69305,177.82479,19456303.1817239
2025-07-03 07:00:00,109478.95,109478.95,109146.2,109280.0,442.04211,2025-07-03 07:59:59.999999,48306462.8528319,54432,228.16199,24932455.846181
2025-07-03 08:00:00,109279.99,109580.0,109279.99,109377.57,557.97387,2025-07-03 08:59:59.999999,61078798.2797957,66392,287.5799,31481712.0181994
2025-07-03 09:00:00,109377.57,110273.21,109377.57,109942.2,1791.81347,2025-07-03 09:59:59.999999,197013815.932039,171912,1246.93988,137092057.4683647
2025-07-03 10:00:00,109942.19,110000.0,109628.08,109839.37,644.21123,2025-07-03 10:59:59.999999,70740903.9808857,105759,377.05306,41406458.9117824
2025-07-03 11:00:00,109839.38,109839.38,109584.61,109599.19,255.55023,2025-07-03 11:59:59.999999,28029728.8584926,54713,116.70109,12800173.1871447
2025-07-03 12:00:00,109599.18,109916.0,108749.99,109167.99,1102.71213,2025-07-03 12:59:59.999999,120499117.8719581,221075,542.75902,59318185.8910489
2025-07-03 13:00:00,109168.0,110529.18,109133.3,110255.63,1445.48707,2025-07-03 13:59:59.999999,159002024.4958531,314774,884.94059,97369892.1990487
2025-07-03 14:00:00,110255.64,110499.6,109560.0,109718.57,999.03383,2025-07-03 14:59:59.999999,109961273.8883675,284376,450.8147,49637792.1978
2025-07-03 15:00:00,109718.57,109833.3,109107.0,109127.84,654.49287,2025-07-03 15:59:59.999999,71585141.1963592,203998,274.18786,29992491.028552
2025-07-03 16:00:00,109127.85,109683.19,109020.8,109288.46,584.75038,2025-07-03 16:59:59.999999,63904102.1934589,170730,276.37485,30206349.1118876
2025-07-03 17:00:00,109288.47,109655.7,109278.41,109556.0,410.71077,2025-07-03 17:59:59.999999,44968304.1868955,73803,220.21194,24108734.9552243
2025-07-03 18:00:00,109556.0,109721.51,109332.1,109678.75,284.97474,2025-07-03 18:59:59.999999,31219437.8257304,74588,122.3904,13410046.0987664
2025-07-03 19:00:00,109678.75,109910.1,109638.01,109803.41,408.00794,2025-07-03 19:59:59.999999,44794353.4416119,89922,279.73071,30711206.0616923
2025-07-03 20:00:00,109803.41,109947.11,109772.37,109947.11,187.94195,2025-07-03 20:59:59.999999,20648846.7863664,49055,94.05284,10333678.5650319
2025-07-03 21:00:00,109947.1,110000.0,109687.59,109788.0,261.66349,2025-07-03 21:59:59.999999,28731455.6605773,64630,108.23375,11883891.3928974
2025-07-03 22:00:00,109787.99,109874.69,109650.94,109699.17,195.2012,2025-07-03 22:59:59.999999,21421856.2676948,44783,81.09156,8899125.0922963
2025-07-03 23:00:00,109699.17,109820.0,109510.0,109584.78,261.97178,2025-07-03 23:59:59.999999,28714298.6232666,33695,66.67521,7308893.7141511
2025-07-04 00:00:00,109584.77,109708.04,109384.38,109478.94,234.7478,2025-07-04 00:59:59.999999,25721883.1984547,58519,111.96267,12268983.6495139
2025-07-04 01:00:00,109478.94,109767.59,109445.86,109500.01,208.55945,2025-07-04 01:59:59.999999,22854639.1875841,65321,96.05711,10526307.0358698
2025-07-04 02:00:00,109500.01,109500.01,109103.71,109180.54,302.6227,2025-07-04 02:59:59.999999,33068120.3862703,74007,103.36305,11292972.6419276
2025-07-04 03:00:00,109180.54,109373.08,109119.23,109235.57,256.79241,2025-07-04 03:59:59.999999,28051868.9710475,46025,128.96295,14089525.5124207
2025-07-04 04:00:00,109235.58,109329.6,108950.0,108982.59,364.1263,2025-07-04 04:59:59.999999,39731051.9473366,52009,119.31068,13022993.3127302
2025-07-04 05:00:00,108982.59,109204.08,108921.0,109012.0,345.38756,2025-07-04 05:59:59.999999,37671554.0622516,74513,146.81925,16015123.6026595
2025-07-04 06:00:00,109012.0,109028.98,108804.0,109025.99,279.91071,2025-07-04 06:59:59.999999,30488357.5133218,56695,108.17639,11783783.8700628
2025-07-04 07:00:00,109026.0,109144.33,108700.0,108700.0,619.63648,2025-07-04 07:59:59.999999,67440821.5396471,83370,228.35153,24858034.2968524
2025-07-04 08:00:00,108700.0,108892.0,108518.83,108763.28,397.51798,2025-07-04 08:59:59.999999,43217995.0425172,69730,193.40544,21030053.6838724
2025-07-04 09:00:00,108763.29,109070.0,108763.28,108997.59,290.69348,2025-07-04 09:59:59.999999,31669645.1660973,59313,148.47326,16174522.4663247
2025-07-04 10:00:00,108997.6,109067.06,108865.38,108899.74,212.83251,2025-07-04 10:59:59.999999,23195292.3218888,41594,96.24046,10487712.6374498
2025-07-04 11:00:00,108899.73,109111.0,108856.0,108888.0,185.34724,2025-07-04 11:59:59.999999,20203308.4712835,43388,70.61915,7697256.6638152
2025-07-04 12:00:00,108888.0,108978.64,108611.53,108731.79,244.5987,2025-07-04 12:59:59.999999,26614198.1452123,56038,114.36269,12443722.5491281
2025-07-04 13:00:00,108731.8,108856.49,107970.22,107970.23,953.81709,2025-07-04 13:59:59.999999,103344247.737469,169151,365.19351,39576844.3638564
2025-07-04 14:00:00,107970.22,108110.75,107505.0,107810.0,1361.9337,2025-07-04 14:59:59.999999,146866873.616035,233105,680.54588,73394100.7879595
2025-07-04 15:00:00,107809.99,107939.03,107573.28,107573.29,1055.73997,2025-07-04 15:59:59.999999,113759383.947113,169677,450.99599,48604243.8369272
2025-07-04 16:00:00,107573.29,107750.01,107333.33,107636.98,1414.5159,2025-07-04 16:59:59.999999,152097292.5411417,187792,471.0162,50653910.853174
2025-07-04 17:00:00,107636.99,107922.5,107632.0,107875.37,364.43679,2025-07-04 17:59:59.999999,39296258.7435363,97249,216.77507,23373950.1737816
2025-07-04 18:00:00,107875.37,107875.37,107489.23,107489.23,990.63968,2025-07-04 18:59:59.999999,106693728.8971814,90364,142.43833,15343128.5093154
2025-07-04 19:00:00,107489.23,107637.84,107245.0,107469.23,662.11075,2025-07-04 19:59:59.999999,71123979.9350626,75390,198.0568,21272835.4599039
2025-07-04 20:00:00,107469.22,107813.04,107440.63,107692.01,228.63195,2025-07-04 20:59:59.999999,24617334.3752628,42593,138.74224,14938922.2770754
2025-07-04 21:00:00,107692.01,107941.99,107689.91,107911.2,255.84136,2025-07-04 21:59:59.999999,27578703.0858955,33521,129.59778,13970399.4792594
2025-07-04 22:00:00,107911.19,108279.33,107886.84,108254.95,374.4163,2025-07-04 22:59:59.999999,40480258.1210721,60315,251.35121,27174573.8285202
2025-07-04 23:00:00,108254.95,108254.96,107958.0,107984.24,189.00934,2025-07-04 23:59:59.999999,20428314.715683,35533,76.98058,8319325.4743559
2025-07-05 00:00:00,107984.25,108224.56,107955.07,108196.01,182.76266,2025-07-05 00:59:59.999999,19758330.5471941,35520,109.98454,11893423.4865516
